0,Orthology,Reaction,Reaction_decode,Pathway,Pathway_decode,Module,Module_decode
K00001,"E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]",R08310,"4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one + NAD+ <=> 5-Phenyl-1,3-oxazinane-2,4-dione + NADH + H+",map01220,Degradation of aromatic compounds,,
K16389,"amphN, nysN, fscP, pimG; cytochrome P450 monooxygenase",,,map01052,Type I polyketide structures,,
K16390,"amphL, nysL, pimD; cytochrome P450 monooxygenase",,,map01052,Type I polyketide structures,,
K16391,"pimS0; pimaricinolide synthase, loading module",,,map01052,Type I polyketide structures,,
K16392,fscA; candicidin polyketide synthase FscA,,,map01052,Type I polyketide structures,,
K16393,fscB; candicidin polyketide synthase FscB,,,map01052,Type I polyketide structures,,
K16394,epoA; epothilone polyketide synthase A,,,map01052,Type I polyketide structures,,
K16395,epoB; epothilone synthetase B,,,map01052,Type I polyketide structures,,
K16396,epoC; epothilone polyketide synthase C,,,map01052,Type I polyketide structures,,
K16397,epoD; epothilone polyketide synthase D,,,map01052,Type I polyketide structures,,
K16398,epoE; epothilone polyketide synthase E,,,map01052,Type I polyketide structures,,
K16399,epoF; epothilone polyketide synthase F,,,map01052,Type I polyketide structures,,
K16400,epoK; cytochrome P450 enzyme,,,map01052,Type I polyketide structures,,
K16401,sorA; soraphen polyketide synthase A,,,map01052,Type I polyketide structures,,
K16402,sorB; soraphen polyketide synthase B,,,map01052,Type I polyketide structures,,
K16403,sorM; O-methyltransferase,,,map01052,Type I polyketide structures,,
K16404,sorR; reductase,,,map01052,Type I polyketide structures,,
K16405,stiA; stigmatellin polyketide synthase StiA,,,map01052,Type I polyketide structures,,
K16406,stiB; stigmatellin polyketide synthase StiB,,,map01052,Type I polyketide structures,,
K16407,stiC; stigmatellin polyketide synthase StiC,,,map01052,Type I polyketide structures,,
K16408,stiD; stigmatellin polyketide synthase StiD,,,map01052,Type I polyketide structures,,
K16409,stiE; stigmatellin polyketide synthase StiE,,,map01052,Type I polyketide structures,,
K16410,stiF; stigmatellin polyketide synthase StiF,,,map01052,Type I polyketide structures,,
K16411,stiG; stigmatellin polyketide synthase StiG,,,map01052,Type I polyketide structures,,
K16412,stiH; stigmatellin polyketide synthase StiH,,,map01052,Type I polyketide structures,,
K16413,stiJ; stigmatellin polyketide synthase StiJ,,,map01052,Type I polyketide structures,,
K16414,stiK; methyltransferase,,,map01052,Type I polyketide structures,,
K16415,stiL; cytochrome P450 dependent monooxygenase,,,map01052,Type I polyketide structures,,
K16416,mxaA; myxalamid-type nonribosomal peptide synthetase MxaA,,,map01052,Type I polyketide structures,,
K16417,mxaC; myxalamid-type polyketide synthase MxaC,,,map01052,Type I polyketide structures,,
K16418,mlsA1; mycolactone core lactone polyketide synthase MlsA1,,,map01052,Type I polyketide structures,,
K16419,mlsB; mycolactone side chain polyketide synthase,,,map01052,Type I polyketide structures,,
K16420,rapA_B_C; rapamycin polyketide synthase A/B/C,,,map01052,Type I polyketide structures,,
K16421,"hmaS, nocF; 4-hydroxymandelate synthase [EC:1.13.11.46]",R06632,3-(4-Hydroxyphenyl)pyruvate + Oxygen <=> (S)-4-Hydroxymandelate + CO2,map01130,Biosynthesis of antibiotics,,
K16422,"hmo, nocN; 4-hydroxymandelate oxidase [EC:1.1.3.46]",R06633,(S)-4-Hydroxymandelate + Oxygen <=> 4-Hydroxyphenylglyoxylate + Hydrogen peroxide,map01130,Biosynthesis of antibiotics,,
K16423,"hpgT, nocG; (S)-3,5-dihydroxyphenylglycine transaminase [EC:2.6.1.103]",R06634,"3,5-Dihydroxy-phenylglycine + 2-Oxoglutarate <=> 3,5-Dihydroxyphenylglyoxylate + L-Glutamate",map01130,Biosynthesis of antibiotics,,
K16424,"dpgA; 3,5-dihydroxyphenylacetyl-CoA synthase [EC:2.3.1.246]",R06625,"4 Malonyl-CoA <=> 3,5-Dihydroxyphenylacetyl-CoA + 3 CoA + 4 CO2 + H2O",map01130,Biosynthesis of antibiotics,,
K16425,dpgB; isomerase DpgB,R06625,"4 Malonyl-CoA <=> 3,5-Dihydroxyphenylacetyl-CoA + 3 CoA + 4 CO2 + H2O",map01130,Biosynthesis of antibiotics,,
K16426,dpgD; dehydration protein DpgD,R06625,"4 Malonyl-CoA <=> 3,5-Dihydroxyphenylacetyl-CoA + 3 CoA + 4 CO2 + H2O",map01130,Biosynthesis of antibiotics,,
K16427,"dpgC; (3,5-dihydroxyphenyl)acetyl-CoA 1,2-dioxygenase [EC:1.13.11.80]",R06624,"3,5-Dihydroxyphenylacetyl-CoA + Oxygen <=> 3,5-Dihydroxyphenylglyoxylate + CoA",map01130,Biosynthesis of antibiotics,,
K16428,cepA; nonribosomal peptide synthetase CepA,,,map01055,Biosynthesis of vancomycin group antibiotics,,
K16429,cepB; nonribosomal peptide synthetase CepB,,,map01055,Biosynthesis of vancomycin group antibiotics,,
K16430,cepC; nonribosomal peptide synthetase CepC,,,map01055,Biosynthesis of vancomycin group antibiotics,,
K16431,"cepH, sgcC3, mdpC3, kedY3; FAD-dependent halogenase [EC:1.14.19.-]",R11393,(R)-2-Aza-beta-tyrosyl-[pcp] + FADH2 + Cl- + Oxygen + H+ <=> (R)-2-Aza-3-chloro-beta-tyrosyl-[pcp] + FAD + 2 H2O,map01130,Biosynthesis of antibiotics,M00832,"Kedarcidin 2-aza-3-chloro-beta-tyrosine moiety biosynthesis, azatyrosine => 2-aza-3-chloro-beta-tyrosyl-PCP"
K16432,cepK; nonribosomal peptide synthetase CepK,,,map01055,Biosynthesis of vancomycin group antibiotics,,
K16433,cepL; hydroxylation protein CepL,,,map01055,Biosynthesis of vancomycin group antibiotics,,
K16434,cepJ; thioesterase CepJ,,,map01055,Biosynthesis of vancomycin group antibiotics,,
K16435,"evaA, eryBVI, tylCVI, tylX3, staJ; dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose 2,3-dehydratase [EC:4.2.1.159]",R06428,"dTDP-4-oxo-6-deoxy-D-glucose <=> dTDP-2,6-dideoxy-D-glycero-hex-2-enos-4-ulose + H2O",map01130,Biosynthesis of antibiotics,M00803,dTDP-D-angolosamine biosynthesis
K16436,"evaB, megDII, angB, staI; dTDP-3-amino-2,3,6-trideoxy-4-keto-D-glucose/dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucose/dTDP-2,6-dideoxy-D-kanosamine transaminase [EC:2.6.1.- 2.6.1.106]",R08928,"dTDP-3-oxo-2,6-dideoxy-D-glucose <=> dTDP-2,6-dideoxy-D-kanosamine",map01130,Biosynthesis of antibiotics,M00803,dTDP-D-angolosamine biosynthesis
K16437,evaC; methylation protein EvaC,R06627,"dTDP-3-amino-2,3,6-trideoxy-4-keto-D-glucose + S-Adenosyl-L-methionine <=> dTDP-3-amino-2,3,6-trideoxy-C-methyl-D-erythro-hexopyranos-4-ulose + S-Adenosyl-L-homocysteine",map01130,Biosynthesis of antibiotics,,
K16438,"evaD, eryBVII, aveBV, megDIV, staE; 5-epimerase [EC:5.1.3.-]",R11138,"dTDP-3-amino-2,3,6-trideoxy-4-keto-D-glucose <=> dTDP-3-amino-4-oxo-2,3,6-trideoxy-L-allose",map01130,Biosynthesis of antibiotics,M00800,dTDP-L-megosamine biosynthesis
K16439,evaE; reductase EvaE,R06629,dTDP-L-4-oxovancosamine + NADPH + H+ <=> dTDP-L-epivancosamine + NADP+,map01130,Biosynthesis of antibiotics,,
K16440,gtfA; chloroorienticin B synthase [EC:2.4.1.311],R10595,dTDP-L-epivancosamine + Desvancosaminyl-vancomycin <=> dTDP + Chloroorienticin B,map01055,Biosynthesis of vancomycin group antibiotics,,
K16442,gtfC; glycosyltransferase GtfC,,,map01055,Biosynthesis of vancomycin group antibiotics,,
K16443,gtfD; desvancosaminyl-vancomycin vancosaminetransferase [EC:2.4.1.322],R10833,dTDP-L-vancosamine + Desvancosaminyl-vancomycin <=> dTDP + Vancomycin,map01055,Biosynthesis of vancomycin group antibiotics,,
K16444,"gtfB, gtfE; vancomycin aglycone glucosyltransferase [EC:2.4.1.310]",,,map01055,Biosynthesis of vancomycin group antibiotics,,
K16445,cepE; oxidation protein CepE,,,map01055,Biosynthesis of vancomycin group antibiotics,,
K16446,cepF; oxidation protein CepF,,,map01055,Biosynthesis of vancomycin group antibiotics,,
K16447,cepG; oxidation protein CepG,,,map01055,Biosynthesis of vancomycin group antibiotics,,
K16448,mtfA; methylation protein MtfA,,,map01055,Biosynthesis of vancomycin group antibiotics,,
K16449,RGS; regulator of G-protein signaling,,,,,,
K16450,mlsA2; mycolactone core lactone polyketide synthase MlsA2,,,map01052,Type I polyketide structures,,
K16451,TIMP1; metallopeptidase inhibitor 1,,,map04066,HIF-1 signaling pathway,,
K16452,CCDC92; coiled-coil domain-containing protein 92,,,,,,
K16453,"CCP110, CEP110; centrosomal protein CEP110",,,,,,
K16454,"CCSAP; centriole, cilia and spindle-associated protein",,,,,,
K16455,"CEP41, TSGA14; centrosomal protein CEP41",,,,,,
K16456,CEP55; centrosomal protein CEP55,,,,,,
K16457,CEP76; centrosomal protein CEP76,,,,,,
K16458,CEP104; centrosomal protein CEP104,,,,,,
K16459,CEP120; centrosomal protein CEP120,,,,,,
K16460,CEP128; centrosomal protein CEP128,,,,,,
K16461,"CEP135, CEP4; centrosomal protein CEP135",,,,,,
K16462,CEP164; centrosomal protein CEP164,,,,,,
K16463,CEP170; centrosomal protein CEP170,,,,,,
K16464,"CEP250, CNAP1; centrosomal protein CEP250",,,,,,
K16465,CETN1; centrin-1,,,,,,
K16466,"CETN3, CDC31; centrin-3",,,,,,
K16467,CNTLN; centlein,,,,,,
K16468,CNTROB; centrobin,,,,,,
K16469,CROCC; rootletin,,,,,,
K16470,DZIP1; zinc finger protein DZIP1,,,,,,
K16471,"FBF1, ALB; Fas-binding factor 1",,,,,,
K16472,HYLS1; hydrolethalus syndrome protein 1,,,,,,
K16473,IFT20; intraflagellar transport protein 20,,,,,,
K16474,IFT88; intraflagellar transport protein 88,,,,,,
K16475,"LRRCC1, CLERC; leucine-rich repeat and coiled-coil domain-containing protein 1",,,,,,
K16476,NIN; ninein,,,,,,
K16477,"NINL, NLP; ninein-like protein",,,,,,
K16478,NPHP4; nephrocystin-4,,,,,,
K16479,ODF2; outer dense fiber protein 2,,,,,,
K16480,OFD1; oral-facial-digital syndrome 1 protein,,,,,,
K16481,PCNT; pericentrin,,,,,,
K16482,POC1; centriolar protein POC1,,,,,,
K16483,POC5; centrosomal protein POC5,,,,,,
K16484,RTTN; rotatin,,,,,,
K16485,SAS-4; spindle assembly abnormal protein 4,,,,,,
K16486,SAS-5; spindle assembly abnormal protein 5,,,,,,
K16487,"SAS-6, SASS6; spindle assembly abnormal protein 6",,,,,,
K16488,SDCCAG8; serologically defined colon cancer antigen 8,,,,,,
K16489,SFI1; protein SFI1,,,,,,
K16490,SPICE1; spindle and centriole-associated protein 1,,,,,,
K16491,STARD9; StAR-related lipid transfer protein 9,,,,,,
K16492,TSKS; testis-specific serine kinase substrate,,,,,,
K16493,PCDHA; protocadherin alpha,,,,,,
K16494,PCDHB; protocadherin beta,,,,,,
K16495,PCDHGA; protocadherin gamma subfamily A,,,,,,
K16496,PCDHGB; protocadherin gamma subfamily B,,,,,,
K16497,PCDHGC; protocadherin gamma subfamily C,,,,,,
K16498,PCDHD1; protocadherin delta 1,,,,,,
K16499,PCDHD2; protocadherin delta 2,,,,,,
K16500,"PCDH15, USH1F; protocadherin-15",,,,,,
K16501,"CDHR1, PCDH21; cadherin-related family member 1",,,,,,
K16502,"CDHR2, PCDH24, PCLKC; cadherin-related family member 2",,,,,,
K16503,"CDHR3, CDH28; cadherin-related family member 3",,,,,,
K16504,"CDHR4, CDH29; cadherin-related family member 4",,,,,,
K16505,"CDHR5, MUCDHL; cadherin-related family member 5",,,,,,
K16506,FAT1_2_3; protocadherin Fat 1/2/3,,,,,,
K16507,"DCHS1_2, PCDH16_23; protocadherin-16/23",,,map04392,Hippo signaling pathway - multiple species,,
K16509,spxA; regulatory protein spx,,,,,,
K16510,"RPS6KA4, MSK2; ribosomal protein S6 kinase alpha-4 [EC:2.7.11.1]",,,map04668,TNF signaling pathway,,
K16511,mecA1_2; adapter protein MecA 1/2,,,,,,
K16512,RPGRIP1; X-linked retinitis pigmentosa GTPase regulator-interacting protein 1,,,,,,
K16513,"NOS1AP, CAPON; carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein",,,map04713,Circadian entrainment,,
K16514,galD; 4-oxalomesaconate tautomerase [EC:5.3.2.8],R07839,"(1E)-4-Oxobut-1-ene-1,2,4-tricarboxylate <=> (1E,3E)-4-Hydroxybuta-1,3-diene-1,2,4-tricarboxylate",map01120,Microbial metabolism in diverse environments,,
K16515,galB; 4-oxalomesaconate hydratase [EC:4.2.1.83],R04478,"4-Carboxy-4-hydroxy-2-oxoadipate <=> (1E)-4-Oxobut-1-ene-1,2,4-tricarboxylate + H2O",map01100,Metabolic pathways,,
K16516,"galR; LysR family transcriptional regulator, regulator for genes of the gallate degradation pathway",,,,,,
K16517,galP; porin-like protein GalP,,,,,,
K16518,"AKAP1; A-kinase anchor protein 1, mitochondrial",,,,,,
K16519,AKAP2; A-kinase anchor protein 2,,,,,,
K16520,AKAP3; A-kinase anchor protein 3,,,,,,
K16521,AKAP4; A-kinase anchor protein 4,,,,,,
K16522,AKAP5; A-kinase anchor protein 5,,,,,,
K16523,AKAP6; A-kinase anchor protein 6,,,,,,
K16524,AKAP7; A-kinase anchor protein 7,,,,,,
K16525,AKAP8; A-kinase anchor protein 8,,,,,,
K16526,AKAP10; A-kinase anchor protein 10,,,,,,
K16527,AKAP11; A-kinase anchor protein 11,,,,,,
K16528,AKAP12; A-kinase anchor protein 12,,,,,,
K16529,ARHGEF13; A-kinase anchor protein 13,,,map05163,Human cytomegalovirus infection,,
K16530,AKAP14; A-kinase anchor protein 14,,,,,,
K16531,BBS4; Bardet-Biedl syndrome 4 protein,,,,,,
K16532,CEP72; centrosomal protein CEP72,,,,,,
K16533,"CEP290, NPHP6; centrosomal protein CEP290",,,,,,
K16534,DISC1; disrupted in schizophrenia 1 protein,,,,,,
K16535,"FOPNL, FOR20; lisH domain-containing protein FOPNL",,,,,,
K16536,HOOK3; protein HOOK3,,,,,,
K16537,PCM1; pericentriolar material 1 protein,,,,,,
K16538,"PIBF1, CEP90; progesterone-induced-blocking factor 1",,,,,,
K16539,PLK1S1; centrosomal protein kizuna,,,,,,
K16540,"AZI1, CEP131; 5-azacytidine-induced protein 1",,,,,,
K16541,CCDC14; coiled-coil domain-containing protein 14,,,,,,
K16542,CDK5RAP2; CDK5 regulatory subunit-associated protein 2,,,,,,
K16543,CEP89; centrosomal protein CEP89,,,,,,
K16544,CEP95; centrosomal protein CEP95,,,,,,
K16545,DDHD2; phospholipase DDHD2 [EC:3.1.1.-],,,,,,
K16546,FGFR10P; FGFR1 oncogene partner,,,,,,
K16547,NEDD1; protein NEDD1,,,,,,
K16548,OAZ1; ornithine decarboxylase antizyme 1,,,,,,
K16549,PDE4DIP; myomegalin,,,,,,
K16550,RPGRIP1L; protein fantom,,,,,,
K16551,"AKAP9, AKAP350; A-kinase anchor protein 9",,,,,,
K16552,exoF; polysaccharide biosynthesis/export protein ExoF,,,,,,
K16553,exoT; succinoglycan exporter,,,,,,
K16554,"exoP, vpsO; polysaccharide biosynthesis transport protein",,,map05111,Biofilm formation - Vibrio cholerae,,
K16555,exoO; succinoglycan biosynthesis protein ExoO [EC:2.4.-.-],,,,,,
K16556,exoM; succinoglycan biosynthesis protein ExoM [EC:2.4.-.-],,,,,,
K16557,exoA; succinoglycan biosynthesis protein ExoA [EC:2.4.-.-],,,,,,
K16558,exoL; succinoglycan biosynthesis protein ExoL [EC:2.-.-.-],,,,,,
K16559,"exoK; endo-1,3-1,4-beta-glycanase ExoK [EC:3.2.1.-]",,,,,,
K16560,exoH; succinoglycan biosynthesis protein ExoH,,,,,,
K16561,exoI; succinoglycan biosynthesis protein ExoI,,,,,,
K16562,exoW; succinoglycan biosynthesis protein ExoW [EC:2.4.-.-],,,,,,
K16563,exoV; succinoglycan biosynthesis protein ExoV,,,,,,
K16564,exoU; succinoglycan biosynthesis protein ExoU [EC:2.4.-.-],,,,,,
K16565,exoX; exopolysaccharide production repressor protein,,,,,,
K16566,exoY; exopolysaccharide production protein ExoY,,,,,,
K16567,exoQ; exopolysaccharide production protein ExoQ,,,,,,
K16568,exoZ; exopolysaccharide production protein ExoZ,,,,,,
K16569,"TUBGCP2, GCP2; gamma-tubulin complex component 2",,,,,,
K16570,"TUBGCP3, GCP3; gamma-tubulin complex component 3",,,,,,
K16571,"TUBGCP4, GCP4; gamma-tubulin complex component 4",,,,,,
K16572,"TUBGCP5, GCP5; gamma-tubulin complex component 5",,,,,,
K16573,"TUBGCP6, GCP6; gamma-tubulin complex component 6",,,,,,
K16574,MZT2A_B; mitotic-spindle organizing protein 2A/2B,,,,,,
K16575,"ACTR1, ARP1; centractin",,,,,,
K16576,"ACTR10, ARP11; actin-related protein 10",,,,,,
K16578,CLASP1_2; CLIP-associating protein 1/2,,,,,,
K16579,DCX; neuronal migration protein doublecortin,,,,,,
K16580,SLAIN1_2; SLAIN motif-containing protein 1/2,,,,,,
K16581,TPGS1; tubulin polyglutamylase complex subunit 1,,,,,,
K16582,TTLL6_13; tubulin polyglutamylase TTLL6/13 [EC:6.-.-.-],,,,,,
K16583,TTLL7; tubulin polyglutamylase TTLL7 [EC:6.-.-.-],,,,,,
K16584,HAUS1; HAUS augmin-like complex subunit 1,,,,,,
K16585,HAUS2; HAUS augmin-like complex subunit 2,,,,,,
K16586,HAUS3; HAUS augmin-like complex subunit 3,,,,,,
K16587,HAUS4; HAUS augmin-like complex subunit 4,,,,,,
K16588,HAUS5; HAUS augmin-like complex subunit 5,,,,,,
K16589,HAUS6; HAUS augmin-like complex subunit 6,,,,,,
K16590,"HAUS7, UIP1; HAUS augmin-like complex subunit 7",,,,,,
K16591,HAUS8; HAUS augmin-like complex subunit 8,,,,,,
K16593,"bioI, CYP107H; pimeloyl-[acyl-carrier protein] synthase [EC:1.14.14.46]",R10123,Long-chain acyl-[acyl-carrier protein] + 2 Reduced flavodoxin + 3 Oxygen <=> Pimeloyl-[acyl-carrier protein] + n-Alkanal + 2 Oxidized flavodoxin + 3 H2O,map01100,Metabolic pathways,M00573,"Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin"
K16594,LRRC36; leucine-rich repeat-containing protein 36,,,,,,
K16595,CCL13; C-C motif chemokine 13,,,map04064,NF-kappa B signaling pathway,,
K16596,CCL8; C-C motif chemokine 8,,,map04062,Chemokine signaling pathway,,
K16597,CCL11; C-C motif chemokine 11,,,map05310,Asthma,,
K16598,CCL27; C-C motif chemokine 27,,,map04062,Chemokine signaling pathway,,
K16599,TTLL1; tubulin polyglutamylase TTLL1 [EC:6.-.-.-],,,,,,
K16600,TTLL2; tubulin polyglutamylase TTLL2 [EC:6.-.-.-],,,,,,
K16601,TTLL4; tubulin polyglutamylase TTLL4 [EC:6.-.-.-],,,,,,
K16602,"TTLL5, TTLL10; tubulin polyglutamylase TTLL5 [EC:6.-.-.-]",,,,,,
K16603,TTLL9; tubulin polyglutamylase TTLL9 [EC:6.-.-.-],,,,,,
K16604,TTLL11; tubulin polyglutamylase TTLL11 [EC:6.-.-.-],,,,,,
K16605,TPGS2; tubulin polyglutamylase complex subunit 2,,,,,,
K16606,LRRC49; leucine-rich repeat-containing protein 49,,,,,,
K16607,NICN1; nicolin-1,,,,,,
K16608,TTLL3_8; tubulin monoglycylase TTLL3/8 [EC:6.3.2.-],,,,,,
K16609,TTLL12; tubulin--tyrosine ligase-like protein 12,,,,,,
K16610,TTLL15; tubulin monoglycylase TTLL15,,,,,,
K16611,HOOK2; protein HOOK2,,,,,,
K16612,HOOK1; protein HOOK1,,,,,,
K16613,OAZ2; ornithine decarboxylase antizyme 2,,,,,,
K16614,OAZ3; ornithine decarboxylase antizyme 3,,,,,,
K16615,"PARP7; actin-related protein 7, plant",,,,,,
K16616,"PARP8; actin-related protein 8, plant",,,,,,
K16617,"COL13A; collagen, type XIII, alpha",,,map04974,Protein digestion and absorption,,
K16618,POLN; DNA polymerase nu [EC:2.7.7.7],,,map03460,Fanconi anemia pathway,,
K16619,"plc, cpa; phospholipase C / alpha-toxin [EC:3.1.4.3]",R07381,O-1-Alk-1-enyl-2-acyl-sn-glycero-3-phosphoethanolamine + H2O <=> 1-Alkenyl-2-acylglycerol + Ethanolamine phosphate,map02024,Quorum sensing,,
K16620,BMP6; bone morphogenetic protein 6,,,map04913,Ovarian steroidogenesis,,
K16621,BMP7; bone morphogenetic protein 7,,,map04390,Hippo signaling pathway,,
K16622,BMP8; bone morphogenetic protein 8,,,map04714,Thermogenesis,,
K16623,ntnH; botulinum neurotoxin type non-toxic component,,,,,,
K16624,ha-33; main hemagglutinin component,,,,,,
K16625,ha-17; hemagglutinin component HA-17,,,,,,
K16626,ha-70; hemagglutinin components HA-22/23/53,,,,,,
K16627,"SOD3; superoxide dismutase, Cu-Zn family [EC:1.15.1.1]",,,,,,
K16628,"COL7A; collagen, type VII, alpha",,,map04974,Protein digestion and absorption,,
K16629,"COL21A; collagen, type XXI, alpha",,,map04974,Protein digestion and absorption,,
K16630,"COL22A; collagen, type XXII, alpha",,,map04974,Protein digestion and absorption,,
K16631,"ANG, RNASE5; angiogenin [EC:3.1.27.-]",,,,,,
K16632,RNASE4; ribonuclease 4 [EC:3.1.27.-],,,,,,
K16633,RNASE11; ribonuclease 11 [EC:3.1.27.-],,,,,,
K16634,RNH1; ribonuclease inhibitor,,,,,,
K16635,exoS; exoenzyme S,,,,,,
K16636,exoT; exoenzyme T,,,,,,
K16637,"K16637, exoY; adenylate cyclase ExoY",,,,,,
K16638,exoU; exoenzyme U,,,,,,
K16639,LACTB2; endoribonuclease LACTB2 [EC:3.1.27.-],,,,,,
K16640,ssh7; DNA-binding protein 7 [EC:3.1.27.-],,,,,,
K16641,HDGF; hepatoma-derived growth factor,,,,,,
K16642,PTN; pleiotrophin,,,,,,
K16643,SERPINE2; glia-derived nexin,,,,,,
K16644,actA; actin-assembly inducing protein,,,,,,
K16645,hbhA; heparin binding hemagglutinin HbhA,,,,,,
K16646,ANXA5; annexin A5,,,,,,
K16647,aftC; arabinofuranan 3-O-arabinosyltransferase [EC:2.4.2.47],,,map00572,Arabinogalactan biosynthesis - Mycobacterium,,
K16648,aftD; arabinofuranan 3-O-arabinosyltransferase [EC:2.4.2.-],,,map00572,Arabinogalactan biosynthesis - Mycobacterium,,
K16649,"glft1; rhamnopyranosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,3/1,4-galactofuranosyltransferase [EC:2.4.1.287]",R12079,UDP-alpha-D-galactofuranose + Glycolipid 3 <=> UDP + Glycolipid 4,map01100,Metabolic pathways,,
K16650,"glft2; galactofuranosylgalactofuranosylrhamnosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,5/1,6-galactofuranosyltransferase [EC:2.4.1.288]",R12080,UDP-alpha-D-galactofuranose + Glycolipid 4 <=> UDP + Glycolipid 5,map01100,Metabolic pathways,,
K16651,pduX; L-threonine kinase [EC:2.7.1.177],R06531,L-Threonine + ATP <=> L-Threonine O-3-phosphate + ADP,map00860,Porphyrin and chlorophyll metabolism,,
K16652,dprE2; decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase [EC:1.1.1.333],,,,,,
K16653,dprE1; decaprenylphospho-beta-D-ribofuranose 2-oxidase [EC:1.1.98.3],,,,,,
K16654,K16654; spore-specific protein,,,,,,
K16655,MIA; melanoma inhibitory activity protein,,,,,,
K16656,NXPH1; neurexophilin-1,,,,,,
K16657,NXPH2; neurexophilin-2,,,,,,
K16658,NXPH3; neurexophilin-3,,,,,,
K16659,"RTN4R, NGR; reticulon-4 receptor",,,,,,
K16660,"RTN4RL1, NGR3; reticulon-4 receptor-like 1",,,,,,
K16661,"RTN4RL2, NGR2; reticulon-4 receptor-like 2",,,,,,
K16662,PTPRU; receptor-type tyrosine-protein phosphatase U [EC:3.1.3.48],,,,,,
K16663,"CD300LG, NEPMUCIN; CMRF35-like molecule 9",,,,,,
K16664,EMCN; endomucin,,,,,,
K16665,LRRTM1_2; leucine-rich repeat transmembrane neuronal protein 1/2,,,,,,
K16666,OMG; oligodendrocyte myelin glycoprotein,,,,,,
K16667,PTPRG; receptor-type tyrosine-protein phosphatase gamma [EC:3.1.3.48],,,,,,
K16668,"TMIGD2, IGPR1; transmembrane and immunoglobulin domain-containing protein 2",,,,,,
K16669,FAT4; protocadherin Fat 4,,,map04392,Hippo signaling pathway - multiple species,,
K16670,MEIS2; homeobox protein Meis2,,,,,,
K16671,MEIS3; homeobox protein Meis3,,,,,,
K16672,HTH; homeobox protein homothorax,,,map04391,Hippo signaling pathway - fly,,
K16673,LIX1L; LIX1-like protein,,,map04391,Hippo signaling pathway - fly,,
K16674,FJX1; four-jointed box protein 1,,,map04391,Hippo signaling pathway - fly,,
K16675,ZDHHC9_14_18; palmitoyltransferase ZDHHC9/14/18 [EC:2.3.1.225],,,map04391,Hippo signaling pathway - fly,,
K16676,LPP; lipoma-prefererred partner,,,map04391,Hippo signaling pathway - fly,,
K16677,DACHS; dachs,,,map04391,Hippo signaling pathway - fly,,
K16678,EGR; eiger,,,map04391,Hippo signaling pathway - fly,,
K16679,WGN; wengen,,,map04391,Hippo signaling pathway - fly,,
K16680,ED; echinoid,,,map04391,Hippo signaling pathway - fly,,
K16681,CRB; protein crumbs,,,map04391,Hippo signaling pathway - fly,,
K16682,"AJUBA, LIMD1, WTIP; LIM domain-containing protein",,,map04392,Hippo signaling pathway - multiple species,,
K16683,EX; protein expanded,,,map04392,Hippo signaling pathway - multiple species,,
K16684,NF2; merlin,,,map04530,Tight junction,,
K16685,WWC1; protein KIBRA,,,map04392,Hippo signaling pathway - multiple species,,
K16686,"SAV1, Sav; scaffold protein salvador",,,map04392,Hippo signaling pathway - multiple species,,
K16687,"YAP1, Yki; transcriptional coactivator YAP1",,,map04392,Hippo signaling pathway - multiple species,,
K16688,DIA; diaphanous,,,map04391,Hippo signaling pathway - fly,,
K16689,UPD; unpaired,,,map04630,JAK-STAT signaling pathway,,
K16690,VN; protein vein,,,map04391,Hippo signaling pathway - fly,,
K16691,KRN; keren,,,map04391,Hippo signaling pathway - fly,,
K16692,etk-wzc; tyrosine-protein kinase Etk/Wzc [EC:2.7.10.-],,,map02020,Two-component system,,
K16693,wzxE; enterobacterial common antigen flippase,,,,,,
K16694,tuaB; teichuronic acid exporter,,,,,,
K16695,wzxC; lipopolysaccharide exporter,,,,,,
K16696,amsL; exopolysaccharide (amylovoran) exporter,,,,,,
K16697,tuaC; teichuronic acid biosynthesis glycosyltransferase TuaC [EC:2.4.-.-],,,,,,
K16698,tuaG; teichuronic acid biosynthesis glycosyltransferase TuaG [EC:2.4.-.-],,,,,,
K16699,tuaH; teichuronic acid biosynthesis glycosyltransferase TuaH [EC:2.4.-.-],,,,,,
K16700,amsB; amylovoran biosynthesis glycosyltransferase AmsB [EC:2.4.-.-],,,,,,
K16701,amsD; amylovoran biosynthesis glycosyltransferase AmsD [EC:2.4.-.-],,,,,,
K16702,amsE; amylovoran biosynthesis glycosyltransferase AmsE [EC:2.4.-.-],,,,,,
K16703,"wcaL, amsK; colanic acid/amylovoran biosynthesis glycosyltransferase [EC:2.4.-.-]",,,,,,
