,CHEM_ID,SUPER_PATHWAY,SUB_PATHWAY,PATHWAY_SORTORDER,TYPE,INCHIKEY,SMILES,CHEMICAL_NAME,PLOT_NAME,CAS,CHEMSPIDER,HMDB,KEGG,PUBCHEM,CHRO_LIB_ENTRY_ID,COMP_ID,LIB_ID,PLATFORM
1-stearoyl-GPC (18:0),100001271,Lipid,Lysophospholipid,2628.0,NAMED,IHNKQIMGVNPMTC-RUZDIDTESA-N,O[C@H](COC(CCCCCCCCCCCCCCCCC)=O)COP(OCC[N+](C)(C)C)([O-])=O,1-stearoyl-GPC (18:0),1-stearoyl-GPC (18:0),19420-57-6,435389.0,HMDB0010384,,497300.0,158603,33961,402,Pos Late
1-oleoyl-GPC (18:1),100001272,Lipid,Lysophospholipid,2630.0,NAMED,YAMUFBLWGFFICM-PTGWMXDISA-N,O[C@H](COC(CCCCCCC/C=C\CCCCCCCC)=O)COP(OCC[N+](C)(C)C)([O-])=O,1-oleoyl-GPC (18:1),1-oleoyl-GPC (18:1),19420-56-5,17240641.0,HMDB0002815,C03916,16081932.0,160285,48258,402,Pos Late
N-acetylthreonine,100001274,Amino Acid,"Glycine, Serine and Threonine Metabolism",18.0,NAMED,PEDXUVCGOLSNLQ-UHFFFAOYSA-N,CC(O)C(C(O)=O)NC(C)=O,N-acetylthreonine,N-acetylthreonine,17093-74-2,3841173.0,HMDB0062557,,152204.0,126095,33939,209,Neg
10-nonadecenoate (19:1n9),100001277,Lipid,Long Chain Monounsaturated Fatty Acid,1557.0,NAMED,BBOWBNGUEWHNQZ-KTKRTIGZSA-N,O=C(O)CCCCCCCC/C=C\CCCCCCCC,10-nonadecenoate (19:1n9),10-nonadecenoate (19:1n9),73033-09-7,4471938.0,HMDB0013622,,5312513.0,126131,33972,209,Neg
10-heptadecenoate (17:1n7),100001278,Lipid,Long Chain Monounsaturated Fatty Acid,1548.0,NAMED,GDTXICBNEOEPAZ-FPLPWBNLSA-N,O=C(O)CCCCCCCC/C=C\CCCCCC,10-heptadecenoate (17:1n7),10-heptadecenoate (17:1n7),29743-97-3,4471860.0,HMDB0060038,,5312435.0,126129,33971,209,Neg
hyocholate,100001279,Lipid,Secondary Bile Acid Metabolism,3544.0,NAMED,DKPMWHFRUGMUKF-OAEKOJLISA-N,C[C@]12CC[C@@H](O)C[C@@]1([H])[C@@H](O)[C@@H](O)C3C2CC[C@@]4(C)C3CCC4C(CCC(O)=O)C,hyocholate,hyocholate,547-75-1,21403098.0,HMDB0000760,C17649,92805.0,126896,34093,209,Neg
epiandrosterone sulfate,100001287,Lipid,Androgenic Steroids,3361.0,NAMED,ZMITXKRGXGRMKS-FMLJXKFRSA-N,O=C1CCC2C3CC[C@@]4([H])C[C@@H](OS(=O)(O)=O)CC[C@]4(C)C3CC[C@@]21C,epiandrosterone sulfate,epiandrosterone sulfate,22229-22-7,21403101.0,HMDB0062657,C04555,9929317.0,126133,33973,209,Neg
N-acetylhistidine,100001293,Amino Acid,Histidine Metabolism,75.0,NAMED,KBOJOGQFRVVWBH-ZETCQYMHSA-N,OC([C@@H](NC(C)=O)CC1=CNC=N1)=O,N-acetylhistidine,N-acetylhistidine,39145-52-3,68142.0,HMDB0032055,C02997,75619.0,147200,33946,305,Polar
gamma-glutamylglycine,100001294,Peptide,Gamma-glutamyl Amino Acid,651.0,NAMED,ACIJGUBIMXQCMF-BYPYZUCNSA-N,O=C(O)[C@@H](N)CCC(NCC(O)=O)=O,gamma-glutamylglycine,gamma-glutamylglycine,1948-29-4,145071.0,HMDB0011667,,100099.0,156047,33949,400,Pos Early
stachydrine,100001296,Xenobiotics,Food Component/Plant,5085.0,NAMED,CMUNUTVVOOHQPW-LURJTMIESA-N,C[N+]1(C)[C@H]([C@@]([O-])=O)CCC1,stachydrine,stachydrine,4136-37-2,103115.0,HMDB0004827,C10172,115244.0,156088,34384,400,Pos Early
alpha-hydroxyisovalerate,100001300,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",429.0,NAMED,NGEWQZIDQIYUNV-UHFFFAOYSA-N,OC(C(O)=O)C(C)C,alpha-hydroxyisovalerate,alpha-hydroxyisovalerate,600-37-3,90190.0,HMDB0000407,,99823.0,126093,33937,209,Neg
gamma-glutamylmethionine,100001313,Peptide,Gamma-glutamyl Amino Acid,657.0,NAMED,RQNSKRXMANOPQY-BQBZGAKWSA-N,O=C(O)[C@H](CCSC)NC(CC[C@@H](C(O)=O)N)=O,gamma-glutamylmethionine,gamma-glutamylmethionine,17663-87-5,5373147.0,HMDB0029155,,7009567.0,157084,44872,400,Pos Early
gamma-glutamylthreonine,100001314,Peptide,Gamma-glutamyl Amino Acid,659.0,NAMED,GWNXFCYUJXASDX-JUZNGCLZSA-N,CC(O)[C@@H](C(O)=O)NC(CC[C@@H](C(O)=O)N)=O,gamma-glutamylthreonine,gamma-glutamylthreonine,5652-48-2,21403107.0,HMDB0029159,,76078708.0,156009,33364,400,Pos Early
p-cresol sulfate,100001315,Xenobiotics,Benzoate Metabolism,4573.0,NAMED,WGNAKZGUSRVWRH-UHFFFAOYSA-N,O=S(OC1=CC=C(C)C=C1)(O)=O,p-cresol sulfate,p-cresol sulfate,3233-57-7,3806480.0,HMDB0011635,,4615423.0,143727,36103,209,Neg
erythronate*,100001320,Carbohydrate,Aminosugar Metabolism,1448.0,NAMED,JPIJQSOTBSSVTP-PWNYCUMCSA-N,OC[C@@H](O)[C@@H](O)C(O)=O,erythronate*,erythronate*,88759-55-1,2061231.0,HMDB0000613,,2781043.0,148204,42420,305,Polar
eicosenoate (20:1),100001335,Lipid,Long Chain Monounsaturated Fatty Acid,1560.0,NAMED,BITHHVVYSMSWAG-KTKRTIGZSA-N,O=C(O)CCCCCCCCC/C=C\CCCCCCCC,eicosenoate (20:1),eicosenoate (20:1n9 or 1n11),,4445895.0,"HMDB0002231,HMDB0062436",C16526,5.28276852827699e+18,143715,33587,209,Neg
linolenate [alpha or gamma; (18:3n3 or 6)],100001337,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),1586.0,NAMED,DTOSIQBPPRVQHS-PDBXOOCHSA-N,O=C(O)CCCCCCC/C=C\C/C=C\C/C=C\CC,linolenate [alpha or gamma; (18:3n3 or 6)],linolenate (18:3n3 or 3n6),,4444437.0,"HMDB0003073,HMDB0001388","C06426,C06427",52809335280934.0,143703,34035,209,Neg
aconitate [cis or trans],100001359,Energy,TCA Cycle,1458.0,NAMED,,,aconitate [cis or trans],aconitate [cis or trans],,,"HMDB0000958,HMDB000072","C004174,C02341",444212643757.0,144239,46173,209,Neg
heme,100001386,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,4427.0,NAMED,GGIDWJQWCUJYRY-UHFFFAOYSA-K,CC1=C(CCC(O)=O)C(/C=C(C(CCC([O-])=O)=C/2C)\[N-]C2=C/C3=N/C(C(C=C)=C3C)=C\4)=N/C1=C\C(N([Fe+2])C4=C5C)=C5C=C,heme,heme,14875-96-8,,HMDB0003178,C00032,26945.0,159409,41754,402,Pos Late
stearoylcarnitine (C18),100001391,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)",1883.0,NAMED,FNPHNLNTJNMAEE-HSZRJFAPSA-N,[O-]C(C[C@@H](OC(CCCCCCCCCCCCCCCCC)=O)C[N+](C)(C)C)=O,stearoylcarnitine (C18),stearoylcarnitine (C18),18822-91-8,21233653.0,HMDB0000848,,3006797.0,158657,34409,402,Pos Late
laurylcarnitine (C12),100001392,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)",1878.0,NAMED,FUJLYHJROOYKRA-UHFFFAOYSA-N,[O-]C(CC(C[N+](C)(C)C)OC(CCCCCCCCCCC)=O)=O,laurylcarnitine (C12),laurylcarnitine (C12),25518-54-1,8602997.0,HMDB000225,,168381.0,158670,34534,402,Pos Late
isovalerylcarnitine (C5),100001393,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",359.0,NAMED,IGQBPDJNUXPEMT-UHFFFAOYSA-N,[O-]C(CC(C[N+](C)(C)C)OC(CC(C)C)=O)=O,isovalerylcarnitine (C5),isovalerylcarnitine (C5),31023-24-2,4932271.0,HMDB0000688,C20826,169235.0,156109,34407,400,Pos Early
1-linoleoyl-GPC (18:2),100001395,Lipid,Lysophospholipid,2633.0,NAMED,SPJFYYJXNPEZDW-UTJQPWESSA-N,O=P(OCC(O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)([O-])OCC[N+](C)(C)C,1-linoleoyl-GPC (18:2),1-linoleoyl-GPC (18:2),,10160888.0,HMDB0010386,C04100,11988421.0,158662,34419,402,Pos Late
7-methylxanthine,100001396,Xenobiotics,Xanthine Metabolism,4623.0,NAMED,PFWLFWPASULGAN-UHFFFAOYSA-N,OC1=C(N2C)C(N=C2)=NC(O)=N1,7-methylxanthine,7-methylxanthine,552-62-5,61660.0,HMDB0001991,C16353,68374.0,156093,34390,400,Pos Early
N1-methylinosine,100001409,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",4145.0,NAMED,WJNGQIYEQLPJMN-UHFFFAOYSA-N,OC(C1O)C(OC1CO)N(C=N2)C(N=CN3C)=C2C3=O,N1-methylinosine,N1-methylinosine,20245-33-4,513976.0,HMDB0002721,,650095.0,179271,48351,400,Pos Early
"N2,N2-dimethylguanosine",100001412,Nucleotide,"Purine Metabolism, Guanine containing",4211.0,NAMED,RSPURTUNRHNVGF-IOSLPCCCSA-N,O=C1C(N=CN2[C@@]3([H])[C@@](O)([H])[C@@](O)([H])[C@](CO)([H])O3)=C2N=C(N(C)C)N1,"N2,N2-dimethylguanosine","N2,N2-dimethylguanosine",2140-67-2,83878.0,HMDB0004824,,135501639.0,156155,35137,400,Pos Early
N4-acetylcytidine,100001413,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",4275.0,NAMED,NIDVTARKFBZMOT-PEBGCTIMSA-N,O[C@]1([H])[C@@](O)([H])[C@](CO)([H])O[C@]1(N2C(N=C(NC(C)=O)C=C2)=O)[H],N4-acetylcytidine,N4-acetylcytidine,3768-18-1,96702.0,HMDB0005923,,107461.0,156149,35130,400,Pos Early
N6-carbamoylthreonyladenosine,100001415,Nucleotide,"Purine Metabolism, Adenine containing",4183.0,NAMED,UNUYMBPXEFMLNW-HZPYULPISA-N,OC(C)C(C(O)=O)NC(NC1=NC=NC2=C1N=CN2[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)=O,N6-carbamoylthreonyladenosine,N6-carbamoylthreonyladenosine,24719-82-2,141829.0,HMDB0041623,,161466.0,126974,35157,209,Neg
orotidine,100001416,Nucleotide,"Pyrimidine Metabolism, Orotate containing",4228.0,NAMED,FKCRAVPPBFWEJD-XVFCMESISA-N,O=C(C=C(C(O)=O)N1[C@H]2[C@H](O)[C@H](O)[C@@H](CO)O2)NC1=O,orotidine,orotidine,314-50-1,83729.0,HMDB0000788,,92751.0,147813,35172,305,Polar
phenylacetylglutamine,100001417,Peptide,Acetylated Peptides,1203.0,NAMED,JFLIEFSWGNOPJJ-JTQLQIEISA-N,O=C(CC1=CC=CC=C1)N[C@@H](CCC(N)=O)C(O)=O,phenylacetylglutamine,phenylacetylglutamine,28047-15-6,270643.0,HMDB0006344,C04148,92258.0,126960,35126,209,Neg
4-hydroxyhippurate,100001423,Xenobiotics,Benzoate Metabolism,4490.0,NAMED,ZMHLUFWWWPBTIU-UHFFFAOYSA-N,O=C(NCC(O)=O)C1=CC=C(O)C=C1,4-hydroxyhippurate,4-hydroxyhippurate,2482-25-9,133104.0,HMDB0013678,,151012.0,127577,35527,209,Neg
"5,6-dihydrouridine",100001425,Nucleotide,"Pyrimidine Metabolism, Uracil containing",4241.0,NAMED,ZPTBLXKRQACLCR-XVFCMESISA-N,OC[C@H]1O[C@@H](N2CCC(NC2=O)=O)[C@@H]([C@@H]1O)O,"5,6-dihydrouridine","5,6-dihydrouridine",1361384,85115.0,HMDB0000497,,94312.0,218435,61833,209,Neg
5-methyluridine (ribothymidine),100001446,Nucleotide,"Pyrimidine Metabolism, Uracil containing",4243.0,NAMED,DWRXFEITVBNRMK-JXOAFFINSA-N,O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1N(C=C2C)C(NC2=O)=O,5-methyluridine (ribothymidine),5-methyluridine (ribothymidine),1463-10-1,393058.0,HMDB0000884,,445408.0,128207,35136,209,Neg
isovalerylglycine,100001452,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",358.0,NAMED,ZRQXMKMBBMNNQC-UHFFFAOYSA-N,O=C(O)CNC(CC(C)C)=O,isovalerylglycine,isovalerylglycine,16284-60-9,475516.0,HMDB00678,,546304.0,126956,35107,209,Neg
7-methylguanine,100001456,Nucleotide,"Purine Metabolism, Guanine containing",4205.0,NAMED,FZWGECJQACGGTI-UHFFFAOYSA-N,O=C1C(N2C)=C(N=C2)N=C(N)N1,7-methylguanine,7-methylguanine,578-76-7,10883.0,HMDB0000897,C02242,135398679.0,156140,35114,400,Pos Early
1-stearoyl-GPE (18:0),100001461,Lipid,Lysophospholipid,2686.0,NAMED,BBYWOYAFBUOUFP-JOCHJYFZSA-N,O=P(OCC[NH3+])([O-])OC[C@H](O)COC(CCCCCCCCCCCCCCCCC)=O,1-stearoyl-GPE (18:0),1-stearoyl-GPE (18:0),69747-55-3,7826018.0,HMDB0011130,,9547068.0,159466,42398,402,Pos Late
N1-methyl-2-pyridone-5-carboxamide,100001468,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,4343.0,NAMED,JLQSXXWTCJPCBC-UHFFFAOYSA-N,O=C(C1=C([H])N(C(C([H])=C1[H])=O)C([H])([H])[H])N([H])[H],N1-methyl-2-pyridone-5-carboxamide,N1-methyl-2-pyridone-5-carboxamide,701-44-0,62899.0,HMDB0004193,C05842,69698.0,143005,40469,209,Neg
N1-methyl-4-pyridone-3-carboxamide,100001469,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,4344.0,NAMED,KTLRWTOPTKGYQY-UHFFFAOYSA-N,O=C(C(C1=O)=CN(C=C1)C)N,N1-methyl-4-pyridone-3-carboxamide,N1-methyl-4-pyridone-3-carboxamide,769-49-3,389671.0,HMDB0004194,C05843,440810.0,211562,57584,400,Pos Early
gamma-glutamylisoleucine*,100001485,Peptide,Gamma-glutamyl Amino Acid,653.0,NAMED,SNCKGJWJABDZHI-SIPWABPFSA-N,CCC(C)[C@@H](C(O)=O)NC(CC[C@@H](C(O)=O)N)=O,gamma-glutamylisoleucine*,gamma-glutamylisoleucine*,,21403145.0,HMDB0011170,,22885096.0,156123,34456,400,Pos Early
oleoylcarnitine (C18:1),100001501,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)",1903.0,NAMED,IPOLTUVFXFHAHI-WHIOSMTNSA-N,[O-]C(C[C@@H](OC(CCCCCCC/C=C\CCCCCCCC)=O)C[N+](C)(C)C)=O,oleoylcarnitine (C18:1),oleoylcarnitine (C18:1),38677-66-6,21403150.0,HMDB0005065,,6441392.0,158710,35160,402,Pos Late
phenol sulfate,100001510,Amino Acid,Tyrosine Metabolism,195.0,NAMED,CTYRPMDGLDAWRQ-UHFFFAOYSA-N,OS(OC1=CC=CC=C1)(=O)=O,phenol sulfate,phenol sulfate,937-34-8,67018.0,HMDB0060015,C02180,74426.0,143728,32553,209,Neg
1-palmitoleoyl-GPC (16:1)*,100001511,Lipid,Lysophospholipid,2619.0,NAMED,LFUDDCMNKWEORN-KHPPLWFESA-N,O=P(OCC[N+](C)(C)C)([O-])OCC(O)COC(CCCCCCC/C=C\CCCCCC)=O,1-palmitoleoyl-GPC (16:1)*,1-palmitoleoyl-GPC* (16:1)*,,21403152.0,HMDB0010383,,24779461.0,158553,33230,402,Pos Late
glutamine_degradant*,100001540,Partially Characterized Molecules,Partially Characterized Molecules,6475.0,NAMED,NPWMTBZSRRLQNJ-UHFFFAOYSA-N,O=C(CCC1N)NC1=O,glutamine_degradant*,glutamine_degradant*,2353-44-8,,,,,157124,46225,400,Pos Early
2-hydroxy-3-methylvalerate,100001541,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",400.0,NAMED,RILPIWOPNGRASR-UHFFFAOYSA-N,O=C(C(C(CC)C)O)O,2-hydroxy-3-methylvalerate,2-hydroxy-3-methylvalerate,488-15-3,144317.0,HMDB0000317,,164623.0,128281,36746,209,Neg
homostachydrine*,100001550,Xenobiotics,Food Component/Plant,4954.0,NAMED,XULZWQRXYTVUTE-ZETCQYMHSA-N,C[N+]1(C)[C@@H](CCCC1)[C@]([O-])=O,homostachydrine*,homostachydrine*,1195-94-4,390180.0,HMDB0033433,C08283,441447.0,155996,33009,400,Pos Early
1-arachidonoyl-GPC (20:4n6)*,100001551,Lipid,Lysophospholipid,2652.0,NAMED,LAXQYRRMGGEGOH-JXRLJXCWSA-N,C[N+](C)(C)CCOP(OC[C@@](O)([H])COC(CCC\C=C/C\C=C/C/C=C\C/C=C\CCCCC)=O)([O-])=O,1-arachidonoyl-GPC (20:4n6)*,1-arachidonoyl-GPC* (20:4)*,,21403155.0,HMDB0010395,C05208,24779476.0,158552,33228,402,Pos Late
2-palmitoleoyl-GPC (16:1)*,100001561,Lipid,Lysophospholipid,2620.0,NAMED,GKXPPJQBVCKAGD-DJYGDJEFSA-N,OC[C@](OC(CCCCCCCC/C=C\CCCCC)=O)([H])COP(OCC[N+](C)(C)C)([O-])=O,2-palmitoleoyl-GPC (16:1)*,2-palmitoleoyl-GPC* (16:1)*,,21403164.0,HMDB10383,,122164832.0,148450,47118,209,Neg
2-palmitoyl-GPC (16:0)*,100001562,Lipid,Lysophospholipid,2618.0,NAMED,NEGQHKSYEYVFTD-HSZRJFAPSA-N,OC[C@](OC(CCCCCCCCCCCCCCC)=O)([H])COP(OCC[N+](C)(C)C)([O-])=O,2-palmitoyl-GPC (16:0)*,2-palmitoyl-GPC* (16:0)*,,21403165.0,HMDB0061702,,15061532.0,126137,35253,209,Neg
1-palmitoyl-GPE (16:0),100001567,Lipid,Lysophospholipid,2679.0,NAMED,YVYMBNSKXOXSKW-HXUWFJFHSA-N,O=P(OCC[NH3+])([O-])OC[C@H](O)COC(CCCCCCCCCCCCCCC)=O,1-palmitoyl-GPE (16:0),1-palmitoyl-GPE (16:0),53862-35-4,7826019.0,HMDB0011503,,9547069.0,158748,35631,402,Pos Late
1-oleoyl-GPE (18:1),100001569,Lipid,Lysophospholipid,2688.0,NAMED,PYVRVRFVLRNJLY-MZMPXXGTSA-N,O=P(OCC[NH3+])([O-])OC[C@H](O)COC(CCCCCCC\C=C/CCCCCCCC)=O,1-oleoyl-GPE (18:1),1-oleoyl-GPE (18:1),89576-29-4,7826021.0,HMDB0011506,,9547071.0,158745,35628,402,Pos Late
1-linoleoyl-GPE (18:2)*,100001570,Lipid,Lysophospholipid,2690.0,NAMED,DBHKHNGBVGWQJE-HZJYTTRNSA-N,O=P(OCC(O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)(O)OCCN,1-linoleoyl-GPE (18:2)*,1-linoleoyl-GPE (18:2)*,,21403170.0,HMDB0011507,,52925130.0,158788,36600,402,Pos Late
1-arachidonoyl-GPE (20:4n6)*,100001571,Lipid,Lysophospholipid,2703.0,NAMED,ROPRRXYVXLDXQO-XSQXPFHXSA-N,NCCOP(OC[C@@](O)([H])COC(CCC\C=C/C\C=C/C/C=C\C/C=C\CCCCC)=O)(O)=O,1-arachidonoyl-GPE (20:4n6)*,1-arachidonoyl-GPE (20:4n6)*,,21403171.0,HMDB0011517,,42607465.0,158719,35186,402,Pos Late
2-hydroxypalmitate,100001579,Lipid,"Fatty Acid, Monohydroxy",1985.0,NAMED,JGHSBPIZNUXPLA-UHFFFAOYSA-N,O=C(O)C(O)CCCCCCCCCCCCCC,2-hydroxypalmitate,2-hydroxypalmitate,764-67-0,83805.0,HMDB0031057,,1.25759649283611e+20,128275,35675,209,Neg
docosapentaenoate (n6 DPA; 22:5n6),100001580,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),1593.0,NAMED,AVKOENOBFIYBSA-WMPRHZDHSA-N,OC(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O,docosapentaenoate (n6 DPA; 22:5n6),docosapentaenoate (n6 DPA; 22:5n6),25182-74-5,4945614.0,HMDB0001976,C16513,6441454.0,127695,37478,209,Neg
gulonate*,100001586,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,4377.0,NAMED,RGHNJXZEOKUKBD-NRXMZTRTSA-N,OC([C@H](O)[C@H](O)[C@H](O)[C@@H](O)CO)=O,gulonate*,gulonate*,20246-53-1,7969943.0,HMDB0003290,C00800,152304.0,148205,46957,305,Polar
isobutyrylglycine,100001590,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",432.0,NAMED,DCICDMMXFIELDF-UHFFFAOYSA-N,O=C(O)CNC(C(C)C)=O,isobutyrylglycine,isobutyrylglycine (C4),15926-18-8,9030891.0,HMDB0000730,,10855600.0,128229,35437,209,Neg
glutarylcarnitine (C5-DC),100001593,Amino Acid,Lysine Metabolism,129.0,NAMED,NXJAXUYOQLTISD-UHFFFAOYSA-N,[O-]C(CC(C[N+](C)(C)C)OC(CCCC(O)=O)=O)=O,glutarylcarnitine (C5-DC),glutarylcarnitine (C5-DC),102636-82-8,21403175.0,HMDB0013130,,71317118.0,157075,44664,400,Pos Early
catechol sulfate,100001605,Xenobiotics,Benzoate Metabolism,4519.0,NAMED,MZPWKJZDOCIALD-UHFFFAOYSA-N,O=S(OC1=C(O)C=CC=C1)(O)=O,catechol sulfate,catechol sulfate,4918-96-1,2341024.0,HMDB0059724,,3083879.0,143730,35320,209,Neg
7alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca),100001609,Lipid,Sterol,3225.0,NAMED,SATGKQGFUDXGAX-MYWFJNCASA-N,O=C(C(CCC[C@H]([C@H]1CC[C@H]2[C@H]3[C@@H]([C@]4(C)C(C[C@H]3O)=CC(CC4)=O)CC[C@@]21C)C)C)O,7alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca),7-HOCA,115538-85-7,2338765.0,HMDB0012458,C17337,3081085.0,128301,36776,209,Neg
N-acetyl-aspartyl-glutamate (NAAG),100001612,Amino Acid,Glutamate Metabolism,57.0,NAMED,OPVPGKGADVGKTG-UHFFFAOYSA-N,CC(NC(C(NC(CCC(O)=O)C(O)=O)=O)CC(O)=O)=O,N-acetyl-aspartyl-glutamate (NAAG),N-acetyl-aspartyl-glutamate (NAAG),3106-85-2,5065.0,HMDB0001067,C12270,188803.0,156223,35665,400,Pos Early
tetradecanedioate (C14-DC),100001613,Lipid,"Fatty Acid, Dicarboxylate",1708.0,NAMED,HQHCYKULIHKCEB-UHFFFAOYSA-N,O=C(O)CCCCCCCCCCCCC(O)=O,tetradecanedioate (C14-DC),tetradecanedioate (C14),821-38-5,12630.0,HMDB0000872,,13185.0,128271,35669,209,Neg
hexadecanedioate (C16-DC),100001614,Lipid,"Fatty Acid, Dicarboxylate",1712.0,NAMED,QQHJDPROMQRDLA-UHFFFAOYSA-N,O=C(O)CCCCCCCCCCCCCCC(O)=O,hexadecanedioate (C16-DC),hexadecanedioate (C16),505-54-4,10027.0,HMDB0000672,C19615,10459.0,128277,35678,209,Neg
octadecanedioate (C18-DC),100001615,Lipid,"Fatty Acid, Dicarboxylate",1715.0,NAMED,BNJOQKFENDDGSC-UHFFFAOYSA-N,O=C(O)CCCCCCCCCCCCCCCCC(O)=O,octadecanedioate (C18-DC),octadecanedioate (C18),871-70-5,63283.0,HMDB0000782,,70095.0,128289,36754,209,Neg
glycerophosphoethanolamine,100001620,Lipid,Phospholipid Metabolism,2257.0,NAMED,JZNWSCPGTDBMEW-UHFFFAOYSA-N,O=P(OCCN)(O)OCC(CO)O,glycerophosphoethanolamine,glycerophosphoethanolamine,33049-08-0,110410.0,HMDB0000114,C01233,123874.0,156380,37455,400,Pos Early
ectoine,100001635,Xenobiotics,Chemical,6177.0,NAMED,WQXNXVUDBPYKBA-YFKPBYRVSA-N,O=[C@](O)[C@H]1N=C(C)NCC1,ectoine,ectoine,96702-03-3,112069.0,HMDB0240650,C06231,126041.0,156211,35651,400,Pos Early
1-arachidonoyl-GPI (20:4)*,100001654,Lipid,Lysophospholipid,2748.0,NAMED,LXUGKKVCSTYZFK-OSKOXSHBSA-N,[H]C(C(O)(C(O)([C@](O)1[H])[H])[H])([C@@](OP(O)(OC[C@@]([H])(COC(CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O)O)=O)([C@]1(O)[H])[H])O,1-arachidonoyl-GPI (20:4)*,1-arachidonoyl-GPI* (20:4)*,,,HMDB0061690,,121596217.0,142524,34214,209,Neg
1-palmitoyl-GPI (16:0),100001655,Lipid,Lysophospholipid,2734.0,NAMED,UOXRPRZMAROFPH-AQFLIPHUSA-N,[H]C(C(O)(C(O)([C@](O)1[H])[H])[H])([C@@](OP(O)(OC[C@@]([H])(COC(CCCCCCCCCCCCCCC)=O)O)=O)([C@]1(O)[H])[H])O,1-palmitoyl-GPI (16:0),1-palmitoyl-GPI* (16:0),,,HMDB0061695,,71296207.0,146820,35305,209,Neg
glycolithocholate sulfate*,100001657,Lipid,Secondary Bile Acid Metabolism,3519.0,NAMED,FHXBAFXQVZOILS-OETIFKLTSA-N,C[C@]12[C@@]([C@@]([C@@](CC2)([H])[C@](CC3)(C)[C@@]4([H])C[C@@H]3OS(=O)(O)=O)(CC4)[H])([H])CC[C@]1([H])[C@H](C)CCC(NCC(O)=O)=O,glycolithocholate sulfate*,glycolithocholate sulfate*,15324-64-8,65188.0,HMDB0002639,C11301,72222.0,142564,32620,209,Neg
taurolithocholate 3-sulfate,100001658,Lipid,Secondary Bile Acid Metabolism,3521.0,NAMED,HSNPMXROZIQAQD-VUIPEFFGSA-N,C[C@@]([C@]([C@@](CC1)([H])[C@@]2([H])[C@](CC3)(C)[C@]1([H])C[C@@H]3OS(=O)(O)=O)(CC4)[H])(CC2)[C@]4([H])[C@H](C)CCC(NCCS(O)(=O)=O)=O,taurolithocholate 3-sulfate,taurolithocholate 3-sulfate,64936-83-0,389078.0,HMDB0002580,C03642,440071.0,128309,36850,209,Neg
deoxycarnitine,100001662,Lipid,Carnitine Metabolism,1948.0,NAMED,JHPNVNIEXXLNTR-UHFFFAOYSA-N,C[N+](C)(C)CCCC([O-])=O,deoxycarnitine,deoxycarnitine,6249-56-5,705.0,HMDB0001161,C01181,22620.0,156251,36747,400,Pos Early
1-ribosyl-imidazoleacetate*,100001668,Amino Acid,Histidine Metabolism,98.0,NAMED,AHPWEWASPTZMEK-UHFFFAOYSA-N,OCC(O1)C(O)C(O)C1N2C=NC(CC(O)=O)=C2,1-ribosyl-imidazoleacetate*,1-ribosyl-imidazoleacetate*,29605-99-0,4292299.0,HMDB0002331,C05131,440569.0,218616,61868,400,Pos Early
"3,4-dihydroxybutyrate",100001730,Lipid,"Fatty Acid, Dihydroxy",2054.0,NAMED,DZAIOXUZHHTJKN-UHFFFAOYSA-N,O=C(CC(CO)O)O,"3,4-dihydroxybutyrate","3,4-dihydroxybutyrate",51267-44-8,,HMDB0000337,,150929.0,220827,62952,305,Polar
hexanoylglutamine,100001733,Lipid,Fatty Acid Metabolism (Acyl Glutamine),1798.0,NAMED,NONGMLDQXRDGIT-UHFFFAOYSA-N,O=C(CCCCC)NC(CCC(N)=O)C(O)=O,hexanoylglutamine,hexanoylglutamine,,,,,,208284,54907,209,Neg
