,definition
K00001,"E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]"
K15532,"yteR, yesR; unsaturated rhamnogalacturonyl hydrolase [EC:3.2.1.172]"
K15533,"K15533; 1,3-beta-galactosyl-N-acetylhexosamine phosphorylase [EC:2.4.1.211]"
K15534,K15534; beta-D-galactosyl-(1->4)-L-rhamnose phosphorylase [EC:2.4.1.247]
K15536,cybC; soluble cytochrome b562
K15539,rodZ; cytoskeleton protein RodZ
K15540,ecpD; chaperone protein EcpD
K15545,mlc; transcriptional regulator of PTS gene
K15547,mdtO; multidrug resistance protein MdtO
K15548,aaeA; p-hydroxybenzoic acid efflux pump subunit AaeA
K15549,"mdtN; membrane fusion protein, multidrug efflux system"
K15550,"mdtP; outer membrane protein, multidrug efflux system"
K15551,tauA; taurine transport system substrate-binding protein
K15552,tauC; taurine transport system permease protein
K15553,ssuA; sulfonate transport system substrate-binding protein
K15554,ssuC; sulfonate transport system permease protein
K15555,ssuB; sulfonate transport system ATP-binding protein [EC:3.6.3.-]
K15580,"oppA, mppA; oligopeptide transport system substrate-binding protein"
K15581,oppB; oligopeptide transport system permease protein
K15582,oppC; oligopeptide transport system permease protein
K15583,oppD; oligopeptide transport system ATP-binding protein
K15584,"nikA, cntA; nickel transport system substrate-binding protein"
K15585,"nikB, cntB; nickel transport system permease protein"
K15586,"nikC, cntC; nickel transport system permease protein"
K15587,"nikD, cntD; nickel transport system ATP-binding protein [EC:7.2.2.11]"
K15598,thiY; putative hydroxymethylpyrimidine transport system substrate-binding protein
K15599,thiX; putative hydroxymethylpyrimidine transport system permease protein
K15600,thiZ; putative hydroxymethylpyrimidine transport system ATP-binding protein
K15633,"gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
K15634,gpmB; probable phosphoglycerate mutase [EC:5.4.2.12]
K15635,"apgM; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
K15669,hddC; D-glycero-alpha-D-manno-heptose 1-phosphate guanylyltransferase [EC:2.7.7.71]
K15721,fyuA; pesticin/yersiniabactin receptor
K15722,cedA; cell division activator
K15723,syd; SecY interacting protein Syd
K15724,erpA; iron-sulfur cluster insertion protein
K15725,"czcC; outer membrane protein, cobalt-zinc-cadmium efflux system"
K15726,czcA; cobalt-zinc-cadmium resistance protein CzcA
K15727,"czcB; membrane fusion protein, cobalt-zinc-cadmium efflux system"
K15735,"csiR; GntR family transcriptional regulator, carbon starvation induced regulator"
K15736,lhgO; L-2-hydroxyglutarate oxidase [EC:1.1.5.-]
K15737,csiD; glutarate hydroxylase [EC:1.14.11.-]
K15738,uup; ABC transport system ATP-binding/permease protein
K15770,"cycB, ganO; arabinogalactan oligomer / maltooligosaccharide transport system substrate-binding protein"
K15771,ganP; arabinogalactan oligomer / maltooligosaccharide transport system permease protein
K15772,ganQ; arabinogalactan oligomer / maltooligosaccharide transport system permease protein
K15773,hipB; HTH-type transcriptional regulator / antitoxin HipB
K15777,"DOPA; 4,5-DOPA dioxygenase extradiol [EC:1.13.11.-]"
K15778,pmm-pgm; phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2]
K15827,hycB; formate hydrogenlyase subunit 2
K15828,hycC; formate hydrogenlyase subunit 3
K15829,hycD; formate hydrogenlyase subunit 4
K15830,hycE; formate hydrogenlyase subunit 5
K15831,hycF; formate hydrogenlyase subunit 6
K15832,hycG; formate hydrogenlyase subunit 7
K15833,hycA; formate hydrogenlyase regulatory protein HycA
K15834,hycH; formate hydrogenlyase maturation protein HycH
K15836,fhlA; formate hydrogenlyase transcriptional activator
K15855,"csxA; exo-1,4-beta-D-glucosaminidase [EC:3.2.1.165]"
K15866,"paaG; 2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase [EC:5.3.3.18]"
K15868,baiB; bile acid-coenzyme A ligase [EC:6.2.1.7]
K15870,baiCD; 3-oxocholoyl-CoA 4-desaturase [EC:1.3.1.115]
K15871,baiF; bile acid CoA-transferase [EC:2.8.3.25]
K15873,baiH; 7beta-hydroxy-3-oxochol-24-oyl-CoA 4-desaturase [EC:1.3.1.116]
K15876,nrfH; cytochrome c nitrite reductase small subunit
K15894,"pseB; UDP-N-acetylglucosamine 4,6-dehydratase [EC:4.2.1.115]"
K15898,"pseI, neuB3; pseudaminic acid synthase [EC:2.5.1.97]"
K15899,pseF; pseudaminic acid cytidylyltransferase [EC:2.7.7.81]
K15915,"pglC; undecaprenyl phosphate N,N'-diacetylbacillosamine 1-phosphate transferase [EC:2.7.8.36]"
K15921,xynD; arabinoxylan arabinofuranohydrolase [EC:3.2.1.55]
K15922,yihQ; sulfoquinovosidase [EC:3.2.1.199]
K15923,"AXY8, FUC95A, afcA; alpha-L-fucosidase 2 [EC:3.2.1.51]"
K15924,"xynC; glucuronoarabinoxylan endo-1,4-beta-xylanase [EC:3.2.1.136]"
K15974,"emrR, mprA; MarR family transcriptional regulator, negative regulator of the multidrug operon emrRAB"
K15975,K15975; glyoxalase family protein
K15977,K15977; putative oxidoreductase
K15984,rsmJ; 16S rRNA (guanine1516-N2)-methyltransferase [EC:2.1.1.242]
K15986,ppaC; manganese-dependent inorganic pyrophosphatase [EC:3.6.1.1]
K15987,hppA; K(+)-stimulated pyrophosphate-energized sodium pump
K16011,"algA, xanB, rfbA, wbpW, pslB; mannose-1-phosphate guanylyltransferase / mannose-6-phosphate isomerase [EC:2.7.7.13 5.3.1.8]"
K16012,"cydC; ATP-binding cassette, subfamily C, bacterial CydC"
K16013,"cydD; ATP-binding cassette, subfamily C, bacterial CydD"
K16014,"cydCD; ATP-binding cassette, subfamily C, bacterial CydCD"
K16052,"ynaI, mscMJ; MscS family membrane protein"
K16053,"ybdG, mscM; miniconductance mechanosensitive channel"
K16055,TPS; trehalose 6-phosphate synthase/phosphatase [EC:2.4.1.15 3.1.3.12]
K16066,ydfG; 3-hydroxy acid dehydrogenase / malonic semialdehyde reductase [EC:1.1.1.381 1.1.1.-]
K16074,zntB; zinc transporter
K16076,"nmpC, ompD; outer membrane porin protein LC"
K16077,scrY; sucrose porin
K16087,"TC.FEV.OM3, tbpA, hemR, lbpA, hpuB, bhuR, hugA, hmbR; hemoglobin/transferrin/lactoferrin receptor protein"
K16088,"TC.FEV.OM1, fhuE, fpvA, fptA; outer-membrane receptor for ferric coprogen and ferric-rhodotorulic acid"
K16089,"TC.FEV.OM2, cirA, cfrA, hmuR; outer membrane receptor for ferrienterochelin and colicins"
K16090,fiu; catecholate siderophore receptor
K16091,fecA; Fe(3+) dicitrate transport protein
K16092,btuB; vitamin B12 transporter
K16135,"dmlR; LysR family transcriptional regulator, transcriptional activator for dmlA"
K16136,"malI; LacI family transcriptional regulator, maltose regulon regulatory protein"
K16137,"nemR; TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon"
K16138,"uidR; TetR/AcrR family transcriptional regulator, repressor for uid operon"
K16139,"uidB, gusB; glucuronide carrier protein"
K16140,"uidC, gusC; putative glucuronide porin"
K16147,glgE; starch synthase (maltosyl-transferring) [EC:2.4.99.16]
K16148,glgM; alpha-maltose-1-phosphate synthase [EC:2.4.1.342]
K16149,"K16149; 1,4-alpha-glucan branching enzyme [EC:2.4.1.18]"
K16153,K16153; glycogen phosphorylase/synthase [EC:2.4.1.1 2.4.1.11]
K16169,pbuX; xanthine permease
K16203,dppA1; D-amino peptidase [EC:3.4.11.-]
K16209,"lacS, galP, rafP; lactose/raffinose/galactose permease"
K16210,"togT, rhiT; oligogalacturonide transporter"
K16211,"malY, malT; maltose/moltooligosaccharide transporter"
K16212,mgp; 4-O-beta-D-mannosyl-D-glucose phosphorylase [EC:2.4.1.281]
K16213,"cbe, mbe; cellobiose epimerase [EC:5.1.3.11]"
K16214,pezT; UDP-N-acetylglucosamine kinase [EC:2.7.1.176]
K16234,hutT; histidine transporter
K16235,mmuP; S-methylmethionine transporter
K16238,"eat, eutP; ethanolamine permease"
K16248,"gutA, gutP; probable glucitol transport protein GutA"
K16263,yjeH; amino acid efflux transporter
K16264,"czcD, zitB; cobalt-zinc-cadmium efflux system protein"
K16291,"erfK; L,D-transpeptidase ErfK/SrfK"
K16299,"eexD; ATP-binding cassette, subfamily C, bacterial EexD"
K16301,efeB; deferrochelatase/peroxidase EfeB [EC:1.11.1.-]
K16321,gntP; high-affinity gluconate transporter
K16322,pit; low-affinity inorganic phosphate transporter
K16324,psuT; putative pseudouridine transporter
K16325,nupX; nucleoside permease
K16326,"yeiL; CRP/FNR family transcriptional regulator, putaive post-exponential-phase nitrogen-starvation regulator"
K16328,psuK; pseudouridine kinase [EC:2.7.1.83]
K16329,psuG; pseudouridylate synthase [EC:4.2.1.70]
K16345,xanP; xanthine permease XanP
K16346,xanQ; xanthine permease XanQ
K16348,ecnB; entericidin B
K16363,lpxC-fabZ; UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase / 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:3.5.1.108 4.2.1.59]
K16370,pfkB; 6-phosphofructokinase 2 [EC:2.7.1.11]
K16371,"gatZ-kbaZ; D-tagatose-1,6-bisphosphate aldolase subunit GatZ/KbaZ"
K16435,"evaA, eryBVI, tylCVI, tylX3, staJ; dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose 2,3-dehydratase [EC:4.2.1.159]"
K16509,spxA; regulatory protein spx
K16511,mecA1_2; adapter protein MecA 1/2
K16650,"glft2; galactofuranosylgalactofuranosylrhamnosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,5/1,6-galactofuranosyltransferase [EC:2.4.1.288]"
K16651,pduX; L-threonine kinase [EC:2.7.1.177]
K16692,etk-wzc; tyrosine-protein kinase Etk/Wzc [EC:2.7.10.-]
K16693,wzxE; enterobacterial common antigen flippase
K16695,wzxC; lipopolysaccharide exporter
K16698,tuaG; teichuronic acid biosynthesis glycosyltransferase TuaG [EC:2.4.-.-]
K16703,"wcaL, amsK; colanic acid/amylovoran biosynthesis glycosyltransferase [EC:2.4.-.-]"
K16704,"rffC, wecD; dTDP-4-amino-4,6-dideoxy-D-galactose acyltransferase [EC:2.3.1.210]"
K16710,"wcaK, amsJ; colanic acid/amylovoran biosynthesis protein"
K16711,wcaM; colanic acid biosynthesis protein WcaM
K16784,bioM; biotin transport system ATP-binding protein [EC:3.6.3.-]
K16785,ecfT; energy-coupling factor transport system permease protein
K16786,ecfA1; energy-coupling factor transport system ATP-binding protein [EC:3.6.3.-]
K16787,ecfA2; energy-coupling factor transport system ATP-binding protein [EC:3.6.3.-]
K16788,niaX; niacin transporter
K16789,thiT; thiamine transporter
K16841,hpxA; allantoin racemase [EC:5.1.99.3]
K16846,suyB; (2R)-sulfolactate sulfo-lyase subunit beta [EC:4.4.1.24]
K16850,uxaA2; altronate dehydratase large subunit [EC:4.2.1.7]
K16868,tehB; tellurite methyltransferase [EC:2.1.1.265]
K16874,"hmfF; 2,5-furandicarboxylate decarboxylase 1"
K16881,K16881; mannose-1-phosphate guanylyltransferase / phosphomannomutase [EC:2.7.7.13 5.4.2.8]
K16885,"qmoA; quinone-modifying oxidoreductase, subunit QmoA"
K16886,"qmoB; quinone-modifying oxidoreductase, subunit QmoB"
K16898,addA; ATP-dependent helicase/nuclease subunit A [EC:3.1.-.- 3.6.4.12]
K16899,addB; ATP-dependent helicase/nuclease subunit B [EC:3.1.-.- 3.6.4.12]
K16905,K16905; fluoroquinolone transport system permease protein
K16906,K16906; fluoroquinolone transport system permease protein
K16907,K16907; fluoroquinolone transport system ATP-binding protein [EC:3.6.3.-]
K16915,cbiL; nickel transport protein
K16922,yydH; putative peptide zinc metalloprotease protein
K16923,qrtT; energy-coupling factor transport system substrate-specific component
K16924,mtsT; energy-coupling factor transport system substrate-specific component
K16925,ykoE; energy-coupling factor transport system substrate-specific component
K16926,htsT; energy-coupling factor transport system substrate-specific component
K16927,cbrT; energy-coupling factor transport system substrate-specific component
K16937,doxD; thiosulfate dehydrogenase [quinone] large subunit [EC:1.8.5.2]
K16950,asrA; anaerobic sulfite reductase subunit A
K16951,asrB; anaerobic sulfite reductase subunit B
K16957,tcyK; L-cystine transport system substrate-binding protein
K16958,tcyL; L-cystine transport system permease protein
K16959,tcyM; L-cystine transport system permease protein
K16960,tcyN; L-cystine transport system ATP-binding protein [EC:7.4.2.1]
K16961,yxeM; putative S-methylcysteine transport system substrate-binding protein
K16962,yxeN; putative S-methylcysteine transport system permease protein
K16963,yxeO; putative S-methylcysteine transport system ATP-binding protein
K17073,lysX1; putative lysine transport system substrate-binding protein
K17074,lysX2; putative lysine transport system permease protein
K17076,"K17076, lysY; putative lysine transport system ATP-binding protein [EC:3.6.3.-]"
K17077,artQ; arginine/lysine/histidine transport system permease protein
K17103,"CHO1, pssA; CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8]"
K17108,GBA2; non-lysosomal glucosylceramidase [EC:3.2.1.45]
K17195,alsE; D-allulose-6-phosphate 3-epimerase [EC:5.1.3.-]
K17203,"K17203, eryF; erythritol transport system permease protein"
K17204,eryE; erythritol transport system ATP-binding protein
K17213,K17213; inositol transport system substrate-binding protein
K17214,K17214; inositol transport system permease protein
K17215,K17215; inositol transport system ATP-binding protein
K17218,sqr; sulfide:quinone oxidoreductase [EC:1.8.5.4]
K17234,araN; arabinosaccharide transport system substrate-binding protein
K17235,araP; arabinosaccharide transport system permease protein
K17236,araQ; arabinosaccharide transport system permease protein
K17241,"aguE; alpha-1,4-digalacturonate transport system substrate-binding protein"
K17242,"aguF; alpha-1,4-digalacturonate transport system permease protein"
K17243,"aguG; alpha-1,4-digalacturonate transport system permease protein"
K17245,chiF; putative chitobiose transport system permease protein
K17246,chiG; putative chitobiose transport system permease protein
K17247,msrQ; methionine sulfoxide reductase heme-binding subunit
K17318,"K17318, lplA; putative aldouronate transport system substrate-binding protein"
K17319,lplB; putative aldouronate transport system permease protein
K17320,lplC; putative aldouronate transport system permease protein
K17331,"dasC; N,N'-diacetylchitobiose transport system permease protein"
K17363,urdA; urocanate reductase [EC:1.3.99.33]
K17398,DNMT3A; DNA (cytosine-5)-methyltransferase 3A [EC:2.1.1.37]
K17465,"PTS-Dga-EIIB, dgaB; PTS system, D-glucosaminate-specific IIB component [EC:2.7.1.203]"
K17466,"PTS-Dga-EIIC, dgaC; PTS system, D-glucosaminate-specific IIC component"
K17467,"PTS-Dga-EIID, dgaD; PTS system, D-glucosaminate-specific IID component"
K17624,"engCP, engBF, endoEF; endo-alpha-N-acetylgalactosaminidase [EC:3.2.1.97]"
K17675,"SUPV3L1, SUV3; ATP-dependent RNA helicase SUPV3L1/SUV3 [EC:3.6.4.13]"
K17680,PEO1; twinkle protein [EC:3.6.4.12]
K17686,"copA, ctpA, ATP7; P-type Cu+ transporter [EC:7.2.2.8]"
K17713,bamB; outer membrane protein assembly factor BamB
K17716,capD; UDP-glucose 4-epimerase [EC:5.1.3.2]
K17722,preT; dihydropyrimidine dehydrogenase (NAD+) subunit PreT [EC:1.3.1.1]
K17723,preA; dihydropyrimidine dehydrogenase (NAD+) subunit PreA [EC:1.3.1.1]
K17733,cwlK; peptidoglycan LD-endopeptidase CwlK [EC:3.4.-.-]
K17734,aprX; serine protease AprX [EC:3.4.21.-]
K17735,"lcdH, cdhA; carnitine 3-dehydrogenase [EC:1.1.1.108]"
K17758,nnr; ADP-dependent NAD(P)H-hydrate dehydratase [EC:4.2.1.136]
K17759,"AIBP, nnrE; NAD(P)H-hydrate epimerase [EC:5.1.99.6]"
K17810,asl; D-aspartate ligase [EC:6.3.1.12]
K17818,ARD1; D-arabinitol dehydrogenase (NADP+) [EC:1.1.1.287]
K17828,pyrDI; dihydroorotate dehydrogenase (NAD+) catalytic subunit [EC:1.3.1.14]
K17836,penP; beta-lactamase class A [EC:3.5.2.6]
K17837,"bla2, blm, ccrA, blaB; metallo-beta-lactamase class B [EC:3.5.2.6]"
K17865,croR; 3-hydroxybutyryl-CoA dehydratase [EC:4.2.1.55]
K17883,mtr; mycothione reductase [EC:1.8.1.15]
K17898,"oraE; D-ornithine 4,5-aminomutase subunit beta [EC:5.4.3.5]"
K17899,"oraS; D-ornithine 4,5-aminomutase subunit alpha [EC:5.4.3.5]"
K17910,aphD; aminoglycoside 2''-phosphotransferase [EC:2.7.1.190]
K17938,"sbmA, bacA; peptide/bleomycin uptake transporter"
K17947,wbiB; dTDP-L-rhamnose 4-epimerase [EC:5.1.3.25]
K17948,nanM; N-acetylneuraminate epimerase [EC:5.1.3.24]
K17992,hndB; NADP-reducing hydrogenase subunit HndB [EC:1.12.1.3]
K18008,hydA; [NiFe] hydrogenase small subunit [EC:1.12.2.1]
K18011,"kamE; beta-lysine 5,6-aminomutase beta subunit [EC:5.4.3.3]"
K18012,"kdd; L-erythro-3,5-diaminohexanoate dehydrogenase [EC:1.4.1.11]"
K18013,kce; 3-keto-5-aminohexanoate cleavage enzyme [EC:2.3.1.247]
K18014,kal; 3-aminobutyryl-CoA ammonia-lyase [EC:4.3.1.14]
K18094,"mexX, amrA; membrane fusion protein, multidrug efflux system"
K18095,"mexY, amrB; multidrug efflux pump"
K18104,"abcA, bmrA; ATP-binding cassette, subfamily B, bacterial AbcA/BmrA [EC:7.6.2.2]"
K18118,"aarC, cat1; succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18]"
K18119,sucD; succinate-semialdehyde dehydrogenase [EC:1.2.1.76]
K18120,"4hbD, abfH; 4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]"
K18122,"cat2, abfT; 4-hydroxybutyrate CoA-transferase [EC:2.8.3.-]"
K18123,HOGA1; 4-hydroxy-2-oxoglutarate aldolase [EC:4.1.3.16]
K18138,"acrB, mexB, adeJ, smeE, mtrD, cmeB; multidrug efflux pump"
K18139,"oprM, emhC, ttgC, cusC, adeK, smeF, mtrE, cmeC, gesC; outer membrane protein, multidrug efflux system"
K18140,"envR, acrS; TetR/AcrR family transcriptional regulator, acrEF/envCD operon repressor"
K18141,"acrE; membrane fusion protein, multidrug efflux system"
K18142,acrF; multidrug efflux pump
K18148,rtcB; release factor H-coupled RctB family protein
K18197,yesW; rhamnogalacturonan endolyase [EC:4.2.2.23]
K18205,hypBA1; non-reducing end beta-L-arabinofuranosidase [EC:3.2.1.185]
K18206,hypBA2; beta-L-arabinobiosidase [EC:3.2.1.187]
K18214,"tetP_A, tet40; MFS transporter, DHA3 family, tetracycline resistance protein"
K18216,"steA, tetA46; ATP-binding cassette, subfamily B, tetracycline resistant protein"
K18217,"steB, tetB46; ATP-binding cassette, subfamily B, tetracycline resistant protein"
K18218,tet35; tetracycline resistance efflux pump
K18220,"tetM, tetO; ribosomal protection tetracycline resistance protein"
K18221,"tetX; tetracycline 11a-monooxygenase, tetracycline resistance protein [EC:1.14.13.231]"
K18231,"msrA, vmlR; macrolide transport system ATP-binding/permease protein"
K18234,vat; virginiamycin A acetyltransferase [EC:2.3.1.-]
K18237,"K18237; ribose 1,5-bisphosphate isomerase [EC:5.3.1.29]"
K18244,mmgC; acyl-CoA dehydrogenase [EC:1.3.99.-]
K18285,mqnE; aminodeoxyfutalosine synthase [EC:2.5.1.120]
K18302,"mexJ; membrane fusion protein, multidrug efflux system"
K18303,mexK; multidrug efflux pump
K18320,"IS15, IS26; transposase, IS6 family"
K18324,acrD; multidrug efflux pump
K18326,"mdtD; MFS transporter, DHA2 family, multidrug resistance protein"
K18330,hndA; NADP-reducing hydrogenase subunit HndA [EC:1.12.1.3]
K18331,hndC; NADP-reducing hydrogenase subunit HndC [EC:1.12.1.3]
K18332,hndD; NADP-reducing hydrogenase subunit HndD [EC:1.12.1.3]
K18334,fucD; L-fuconate dehydratase [EC:4.2.1.68]
K18344,"vanRB, vanR, vanRD; two-component system, OmpR family, response regulator VanR"
K18345,"vanSB, vanS, vanSD; two-component system, OmpR family, sensor histidine kinase VanS [EC:2.7.13.3]"
K18346,vanW; vancomycin resistance protein VanW
K18348,vanT; serine/alanine racemase [EC:5.1.1.18 5.1.1.1]
K18349,"vanRC, vanRE, vanRG; two-component system, OmpR family, response regulator VanR"
K18350,"vanSC, vanSE, vanSG; two-component system, OmpR family, sensor histidine kinase VanS [EC:2.7.13.3]"
K18369,adh2; alcohol dehydrogenase [EC:1.1.1.-]
K18427,hpdB; 4-hydroxyphenylacetate decarboxylase large subunit [EC:4.1.1.83]
K18430,"legI, neuB2; N,N'-diacetyllegionaminate synthase [EC:2.5.1.101]"
K18446,ygiF; triphosphatase [EC:3.6.1.25]
K18471,ydjG; methylglyoxal reductase [EC:1.1.1.-]
K18474,fabM; trans-2-decenoyl-[acyl-carrier protein] isomerase [EC:5.3.3.14]
K18475,fliB; lysine-N-methylase [EC:2.1.1.-]
K18478,yihV; sulfofructose kinase [EC:2.7.1.184]
K18479,yihS; sulfoquinovose isomerase [EC:5.3.1.31]
K18530,frvX; putative aminopeptidase FrvX [EC:3.4.11.-]
K18531,frvR; putative frv operon regulatory protein
K18545,sprB; streptogrisin B [EC:3.4.21.81]
K18554,cpt; chloramphenicol 3-O phosphotransferase [EC:2.7.1.-]
K18581,ugl; unsaturated chondroitin disaccharide hydrolase [EC:3.2.1.180]
K18640,parM; plasmid segregation protein ParM
K18657,zapC; cell division protein ZapC
K18672,dacA; diadenylate cyclase [EC:2.7.7.85]
K18675,"chbP; N,N'-diacetylchitobiose phosphorylase [EC:2.4.1.280]"
K18682,rny; ribonucrease Y [EC:3.1.-.-]
K18691,mltF; membrane-bound lytic murein transglycosylase F [EC:4.2.2.-]
K18692,cshB; ATP-dependent RNA helicase CshB [EC:3.6.4.13]
K18697,pgpC; phosphatidylglycerophosphatase C [EC:3.1.3.27]
K18702,uctC; CoA:oxalate CoA-transferase [EC:2.8.3.19]
K18704,tarL; CDP-ribitol ribitolphosphotransferase / teichoic acid ribitol-phosphate polymerase [EC:2.7.8.14 2.7.8.47]
K18707,mtaB; threonylcarbamoyladenosine tRNA methylthiotransferase MtaB [EC:2.8.4.5]
K18765,csrD; RNase E specificity factor CsrD
K18778,zapD; cell division protein ZapD
K18785,"mp2; beta-1,4-mannooligosaccharide/beta-1,4-mannosyl-N-acetylglucosamine phosphorylase [EC:2.4.1.319 2.4.1.320]"
K18800,ubiI; 2-polyprenylphenol 6-hydroxylase [EC:1.14.13.240]
K18814,ictB; putative inorganic carbon (hco3(-)) transporter
K18816,"aac6-I, aacA7; aminoglycoside 6'-N-acetyltransferase I [EC:2.3.1.82]"
K18817,hph; hygromycin-B 4-O-kinase [EC:2.7.1.163]
K18828,"mvpA, vapC; tRNA(fMet)-specific endonuclease VapC [EC:3.1.-.-]"
K18829,"mvpT, vapB; antitoxin VapB"
K18830,pezA; HTH-type transcriptional regulator / antitoxin PezA
K18831,higA; HTH-type transcriptional regulator / antitoxin HigA
K18837,cbtA; cytoskeleton-binding toxin CbtA and related proteins
K18838,cbeA; cytoskeleton bundling-enhancing protein CbeA and related proteins
K18840,ghoS; antitoxin GhoS
K18843,hicB; antitoxin HicB
K18850,ycfD; 50S ribosomal protein L16 3-hydroxylase [EC:1.14.11.47]
K18856,"vanC, vanE, vanG; D-alanine---D-serine ligase [EC:6.3.2.35]"
K18862,ldrA_B_C_D; small toxic polypeptide LdrA/B/C/D
K18866,vanXY; zinc D-Ala-D-Ala dipeptidase/carboxypeptidase [EC:3.4.13.22 3.4.17.14]
K18887,"efrA; ATP-binding cassette, subfamily B, multidrug efflux pump"
K18888,"efrB; ATP-binding cassette, subfamily B, multidrug efflux pump"
K18889,"mdlA, smdA; ATP-binding cassette, subfamily B, multidrug efflux pump"
K18890,"mdlB, smdB; ATP-binding cassette, subfamily B, multidrug efflux pump"
K18891,"patA, rscA, lmrC, satA; ATP-binding cassette, subfamily B, multidrug efflux pump"
K18892,"patB, rscB, lmrC, satB; ATP-binding cassette, subfamily B, multidrug efflux pump"
K18893,"vcaM; ATP-binding cassette, subfamily B, multidrug efflux pump"
K18898,"mdtE; membrane fusion protein, multidrug efflux system"
K18899,mdtF; multidrug efflux pump
K18907,"norG; GntR family transcriptional regulator, regulator for abcA and norABC"
K18910,"dpe, lre; D-psicose/D-tagatose/L-ribulose 3-epimerase [EC:5.1.3.30 5.1.3.31]"
K18918,"relB; RHH-type transcriptional regulator, rel operon repressor / antitoxin RelB"
K18919,hokC_D; protein HokC/D
K18920,hokA; protein HokA
K18921,hokB; protein HokB
K18922,hokE; protein HokE
K18926,"lmrB; MFS transporter, DHA2 family, lincomycin resistance protein"
K18928,lldE; L-lactate dehydrogenase complex protein LldE
K18929,lldF; L-lactate dehydrogenase complex protein LldF
K18930,dld; D-lactate dehydrogenase
K18954,"pobR; AraC family transcriptional regulator, transcriptional activator of pobA"
K18955,"whiB1_2_3_4; WhiB family transcriptional regulator, redox-sensing transcriptional regulator"
K18968,adrA; diguanylate cyclase [EC:2.7.7.65]
K18979,queG; epoxyqueuosine reductase [EC:1.17.99.6]
K18986,"ihk; two-component system, OmpR family, sensor kinase Ihk [EC:2.7.13.3]"
K18988,ampH; serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase [EC:3.4.16.4 3.4.21.-]
K18991,"mtrA; AraC family transcriptional regulator, activator of mtrCDE"
K18997,cbpM; chaperone modulatory protein CbpM
K19000,rof; Rho-binding antiterminator
K19002,"mgs, bgsB; 1,2-diacylglycerol 3-alpha-glucosyltransferase [EC:2.4.1.337]"
K19005,ltaS; lipoteichoic acid synthase [EC:2.7.8.20]
K19046,"casB, cse2; CRISPR system Cascade subunit CasB"
K19048,symE; toxic protein SymE
K19049,cslA; chondroitin AC lyase [EC:4.2.2.5]
K19050,hepA; heparin lyase [EC:4.2.2.7]
K19052,hepC; heparan-sulfate lyase [EC:4.2.2.8]
K19055,"prdX, proX; Ala-tRNA(Pro) deacylase [EC:3.1.1.-]"
K19068,"wbjC; UDP-2-acetamido-2,6-beta-L-arabino-hexul-4-ose reductase [EC:1.1.1.367]"
K19075,"cst2, cas7; CRISPR-associated protein Cst2"
K19088,"cst1, cas8a; CRISPR-associated protein Cst1"
K19090,cas5t; CRISPR-associated protein Cas5t
K19091,cas6; CRISPR-associated endoribonuclease Cas6 [EC:3.1.-.-]
K19092,parE1_3_4; toxin ParE1/3/4
K19114,csh1; CRISPR-associated protein Csh1
K19115,csh2; CRISPR-associated protein Csh2
K19116,cas5h; CRISPR-associated protein Cas5h
K19117,"csd1, cas8c; CRISPR-associated protein Csd1"
K19118,"csd2, cas7; CRISPR-associated protein Csd2"
K19119,cas5d; CRISPR-associated protein Cas5d
K19123,"casA, cse1; CRISPR system Cascade subunit CasA"
K19124,"casC, cse4; CRISPR system Cascade subunit CasC"
K19125,"casD, cse5; CRISPR system Cascade subunit CasD"
K19126,"casE, cse3; CRISPR system Cascade subunit CasE"
K19134,csx10; CRISPR-associated protein Csx10
K19137,csn2; CRISPR-associated protein Csn2
K19138,csm2; CRISPR-associated protein Csm2
K19139,csm4; CRISPR-associated protein Csm4
K19140,csm5; CRISPR-associated protein Csm5
K19147,mcrC; 5-methylcytosine-specific restriction enzyme subunit McrC
K19155,yhaV; toxin YhaV [EC:3.1.-.-]
K19156,"prlF, sohA; antitoxin PrlF"
K19157,yafQ; mRNA interferase YafQ [EC:3.1.-.-]
K19158,yoeB; toxin YoeB [EC:3.1.-.-]
K19159,yefM; antitoxin YefM
K19162,tomB; hha toxicity modulator TomB
K19163,ccdB; toxin CcdB
K19164,ccdA; antitoxin CcdA
K19165,phd; antitoxin Phd
K19166,higB; mRNA interferase HigB [EC:3.1.-.-]
K19167,abiQ; protein AbiQ
K19168,cptA; toxin CptA
K19169,dndB; DNA sulfur modification protein DndB
K19170,dndC; DNA sulfur modification protein DndC
K19171,dndD; DNA sulfur modification protein DndD
